Removed: [az-rAZ] arrays.xml: array/multi_floating_package_allow_list (item mismatch)
Removed: [az-rAZ] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [az-rAZ] strings.xml: string/restore_header_title2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/restore_header_title (format mismatch)
Removed: [az-rAZ] strings.xml: string/restore_home_screen_apps_options (format mismatch)
Removed: [ca] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [ca] strings.xml: string/restore_header_title2 (format mismatch)
Removed: [ca] strings.xml: string/restore_header_title (format mismatch)
Removed: [ca] strings.xml: string/restore_home_screen_apps_options (format mismatch)
Removed: [cs] strings.xml: string/restore_home_screen_apps_options (format mismatch)
Removed: [de] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [de] strings.xml: string/restore_header_title2 (format mismatch)
Removed: [de] strings.xml: string/restore_header_title (format mismatch)
Removed: [es-rUS] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [es-rUS] strings.xml: string/restore_header_title2 (format mismatch)
Removed: [es-rUS] strings.xml: string/restore_header_title (format mismatch)
Removed: [es-rUS] strings.xml: string/restore_home_screen_apps_options (format mismatch)
Removed: [es] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [es] strings.xml: string/restore_header_title2 (format mismatch)
Removed: [es] strings.xml: string/restore_header_title (format mismatch)
Removed: [es] strings.xml: string/restore_home_screen_apps_options (format mismatch)
Removed: [fr] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [fr] strings.xml: string/restore_header_title2 (format mismatch)
Removed: [fr] strings.xml: string/restore_header_title (format mismatch)
Removed: [fr] strings.xml: string/restore_home_screen_apps_options (format mismatch)
Removed: [pt-rPT] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [pt-rPT] strings.xml: string/restore_header_title2 (format mismatch)
Removed: [pt-rPT] strings.xml: string/restore_header_title (format mismatch)
Removed: [pt-rPT] strings.xml: string/restore_home_screen_apps_options (format mismatch)
Removed: [ro] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [sk] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [sk] strings.xml: string/restore_header_title2 (format mismatch)
Removed: [sk] strings.xml: string/restore_header_title (format mismatch)
Removed: [sk] strings.xml: string/restore_home_screen_apps_options (format mismatch)
Removed: [sl] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [sl] strings.xml: string/restore_header_title2 (format mismatch)
Removed: [sl] strings.xml: string/restore_header_title (format mismatch)
Removed: [sl] strings.xml: string/restore_home_screen_apps_options (format mismatch)
Removed: [vi] strings.xml: string/restore_header_backup_size (format mismatch)
Removed: [vi] strings.xml: string/restore_header_title2 (format mismatch)
Removed: [vi] strings.xml: string/restore_header_title (format mismatch)
