Removed: [az-rAZ] arrays.xml: array/wifitrackerlib_wifi_status (item mismatch)
Removed: [cs] strings.xml: string/kg_invalid_sim_puk_hint (format mismatch)
Removed: [cs] strings.xml: string/notification_app_settings (format mismatch)
Removed: [it] strings.xml: string/format_count_denominator (format mismatch)
Removed: [it] strings.xml: string/format_count_denominator_2 (format mismatch)
Removed: [it] strings.xml: string/format_minute_desc (format mismatch)
Removed: [it] strings.xml: string/format_number_hour_desc (format mismatch)
Removed: [it] strings.xml: string/health_chart_sleep_time_format (format mismatch)
Removed: [it] strings.xml: string/humidity_format_with_unit (format mismatch)
Removed: [it] strings.xml: string/kg_invalid_sim_puk_hint (format mismatch)
Removed: [pl] strings.xml: string/kg_invalid_sim_puk_hint (format mismatch)
Removed: [ro] strings.xml: string/kg_invalid_sim_puk_hint (format mismatch)
Removed: [sk] strings.xml: string/kg_invalid_sim_puk_hint (format mismatch)
Removed: [vi] strings.xml: string/kg_invalid_sim_puk_hint (format mismatch)
Removed: [vi] strings.xml: string/kg_too_many_failed_attempts_countdown (format mismatch)
