Removed: [az-rAZ] arrays.xml: array/device_support_3gonly2gonly (item mismatch)
Removed: [az-rAZ] strings.xml: string/bad_pin2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/bad_pin2_old (format mismatch)
Removed: [az-rAZ] strings.xml: string/bad_puk2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/confirm_pin2_label (format mismatch)
Removed: [az-rAZ] strings.xml: string/emm_cause_7_8_12_13_15_16_17_22 (format mismatch)
Removed: [az-rAZ] strings.xml: string/enter_pin2_text (format mismatch)
Removed: [az-rAZ] strings.xml: string/fdn_enable_puk2_requested (format mismatch)
Removed: [az-rAZ] strings.xml: string/invalid_pin2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/invalid_puk2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/kr_emergency_111 (format mismatch)
Removed: [az-rAZ] strings.xml: string/kr_emergency_112 (format mismatch)
Removed: [az-rAZ] strings.xml: string/kr_emergency_113 (format mismatch)
Removed: [az-rAZ] strings.xml: string/kr_emergency_117 (format mismatch)
Removed: [az-rAZ] strings.xml: string/kr_emergency_118 (format mismatch)
Removed: [az-rAZ] strings.xml: string/kr_emergency_119 (format mismatch)
Removed: [az-rAZ] strings.xml: string/kr_emergency_122 (format mismatch)
Removed: [az-rAZ] strings.xml: string/kr_emergency_125 (format mismatch)
Removed: [az-rAZ] strings.xml: string/kt_lte_emm_cause_6 (format mismatch)
Removed: [az-rAZ] strings.xml: string/lgu_emm_cause_2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/lgu_emm_cause_3 (format mismatch)
Removed: [az-rAZ] strings.xml: string/lgu_emm_cause_6 (format mismatch)
Removed: [az-rAZ] strings.xml: string/lgu_emm_cause_8 (format mismatch)
Removed: [az-rAZ] strings.xml: string/lgu_emm_cause_others (format mismatch)
Removed: [az-rAZ] strings.xml: string/lgu_msim_emm_cause_2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/lgu_msim_emm_cause_3 (format mismatch)
Removed: [az-rAZ] strings.xml: string/lgu_msim_emm_cause_6 (format mismatch)
Removed: [az-rAZ] strings.xml: string/lgu_msim_emm_cause_8 (format mismatch)
Removed: [az-rAZ] strings.xml: string/lgu_msim_emm_cause_others (format mismatch)
Removed: [az-rAZ] strings.xml: string/messageCFU_kr (format mismatch)
Removed: [az-rAZ] strings.xml: string/mismatch_pin2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/mi_mobile_sim_activate_message (format mismatch)
Removed: [az-rAZ] strings.xml: string/msim_emm_cause_7_8_12_13_15_16_17_22 (format mismatch)
Removed: [az-rAZ] strings.xml: string/msim_switch_data_conn_toast_for_h2xct (format mismatch)
Removed: [az-rAZ] strings.xml: string/new_pin2_label (format mismatch)
Removed: [az-rAZ] strings.xml: string/old_pin2_label (format mismatch)
Removed: [az-rAZ] strings.xml: string/pin2_changed (format mismatch)
Removed: [az-rAZ] strings.xml: string/pin2_lock_warning (format mismatch)
Removed: [az-rAZ] strings.xml: string/pin_progress_change_pin2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/puk2_label (format mismatch)
Removed: [az-rAZ] strings.xml: string/roaming_customer_service_message_kr (format mismatch)
Removed: [az-rAZ] strings.xml: string/skt_emm_cause_2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/skt_emm_cause_3 (format mismatch)
Removed: [az-rAZ] strings.xml: string/skt_emm_cause_6 (format mismatch)
Removed: [az-rAZ] strings.xml: string/skt_emm_cause_7_8_15 (format mismatch)
Removed: [az-rAZ] strings.xml: string/skt_msim_emm_cause_2 (format mismatch)
Removed: [az-rAZ] strings.xml: string/skt_msim_emm_cause_3 (format mismatch)
Removed: [az-rAZ] strings.xml: string/skt_msim_emm_cause_6 (format mismatch)
Removed: [az-rAZ] strings.xml: string/skt_msim_emm_cause_7_8_15 (format mismatch)
Removed: [az-rAZ] strings.xml: string/strPasswordLengthIncorrect (format mismatch)
Removed: [be] strings.xml: string/bad_pin2 (format mismatch)
Removed: [be] strings.xml: string/bad_pin2_old (format mismatch)
Removed: [be] strings.xml: string/bad_puk2 (format mismatch)
Removed: [be] strings.xml: string/confirm_pin2_label (format mismatch)
Removed: [be] strings.xml: string/emm_cause_7_8_12_13_15_16_17_22 (format mismatch)
Removed: [be] strings.xml: string/enter_pin2_text (format mismatch)
Removed: [be] strings.xml: string/fdn_enable_puk2_requested (format mismatch)
Removed: [be] strings.xml: string/invalid_pin2 (format mismatch)
Removed: [be] strings.xml: string/invalid_puk2 (format mismatch)
Removed: [be] strings.xml: string/kr_emergency_111 (format mismatch)
Removed: [be] strings.xml: string/kr_emergency_112 (format mismatch)
Removed: [be] strings.xml: string/kr_emergency_113 (format mismatch)
Removed: [be] strings.xml: string/kr_emergency_117 (format mismatch)
Removed: [be] strings.xml: string/kr_emergency_118 (format mismatch)
Removed: [be] strings.xml: string/kr_emergency_119 (format mismatch)
Removed: [be] strings.xml: string/kr_emergency_122 (format mismatch)
Removed: [be] strings.xml: string/kr_emergency_125 (format mismatch)
Removed: [be] strings.xml: string/kt_lte_emm_cause_6 (format mismatch)
Removed: [be] strings.xml: string/lgu_emm_cause_2 (format mismatch)
Removed: [be] strings.xml: string/lgu_emm_cause_3 (format mismatch)
Removed: [be] strings.xml: string/lgu_emm_cause_6 (format mismatch)
Removed: [be] strings.xml: string/lgu_emm_cause_8 (format mismatch)
Removed: [be] strings.xml: string/lgu_emm_cause_others (format mismatch)
Removed: [be] strings.xml: string/lgu_msim_emm_cause_2 (format mismatch)
Removed: [be] strings.xml: string/lgu_msim_emm_cause_3 (format mismatch)
Removed: [be] strings.xml: string/lgu_msim_emm_cause_6 (format mismatch)
Removed: [be] strings.xml: string/lgu_msim_emm_cause_8 (format mismatch)
Removed: [be] strings.xml: string/lgu_msim_emm_cause_others (format mismatch)
Removed: [be] strings.xml: string/mismatch_pin2 (format mismatch)
Removed: [be] strings.xml: string/mi_mobile_sim_activate_message (format mismatch)
Removed: [be] strings.xml: string/msim_emm_cause_7_8_12_13_15_16_17_22 (format mismatch)
Removed: [be] strings.xml: string/msim_switch_data_conn_toast_for_h2xct (format mismatch)
Removed: [be] strings.xml: string/new_pin2_label (format mismatch)
Removed: [be] strings.xml: string/old_pin2_label (format mismatch)
Removed: [be] strings.xml: string/pin2_changed (format mismatch)
Removed: [be] strings.xml: string/pin2_lock_warning (format mismatch)
Removed: [be] strings.xml: string/pin_progress_change_pin2 (format mismatch)
Removed: [be] strings.xml: string/puk2_label (format mismatch)
Removed: [be] strings.xml: string/roaming_customer_service_message_kr (format mismatch)
Removed: [be] strings.xml: string/skt_emm_cause_2 (format mismatch)
Removed: [be] strings.xml: string/skt_emm_cause_3 (format mismatch)
Removed: [be] strings.xml: string/skt_emm_cause_6 (format mismatch)
Removed: [be] strings.xml: string/skt_emm_cause_7_8_15 (format mismatch)
Removed: [be] strings.xml: string/skt_msim_emm_cause_2 (format mismatch)
Removed: [be] strings.xml: string/skt_msim_emm_cause_3 (format mismatch)
Removed: [be] strings.xml: string/skt_msim_emm_cause_6 (format mismatch)
Removed: [be] strings.xml: string/skt_msim_emm_cause_7_8_15 (format mismatch)
Removed: [be] strings.xml: string/strPasswordLengthIncorrect (format mismatch)
Removed: [ca] strings.xml: string/bad_pin2 (format mismatch)
Removed: [ca] strings.xml: string/bad_pin2_old (format mismatch)
Removed: [ca] strings.xml: string/bad_puk2 (format mismatch)
Removed: [ca] strings.xml: string/confirm_pin2_label (format mismatch)
Removed: [ca] strings.xml: string/emm_cause_7_8_12_13_15_16_17_22 (format mismatch)
Removed: [ca] strings.xml: string/fdn_enable_puk2_requested (format mismatch)
Removed: [ca] strings.xml: string/invalid_pin2 (format mismatch)
Removed: [ca] strings.xml: string/invalid_puk2 (format mismatch)
Removed: [ca] strings.xml: string/kr_emergency_111 (format mismatch)
Removed: [ca] strings.xml: string/kr_emergency_112 (format mismatch)
Removed: [ca] strings.xml: string/kr_emergency_113 (format mismatch)
Removed: [ca] strings.xml: string/kr_emergency_117 (format mismatch)
Removed: [ca] strings.xml: string/kr_emergency_118 (format mismatch)
Removed: [ca] strings.xml: string/kr_emergency_119 (format mismatch)
Removed: [ca] strings.xml: string/kr_emergency_122 (format mismatch)
Removed: [ca] strings.xml: string/kr_emergency_125 (format mismatch)
Removed: [ca] strings.xml: string/kt_lte_emm_cause_6 (format mismatch)
Removed: [ca] strings.xml: string/lgu_emm_cause_2 (format mismatch)
Removed: [ca] strings.xml: string/lgu_emm_cause_3 (format mismatch)
Removed: [ca] strings.xml: string/lgu_emm_cause_6 (format mismatch)
Removed: [ca] strings.xml: string/lgu_emm_cause_8 (format mismatch)
Removed: [ca] strings.xml: string/lgu_emm_cause_others (format mismatch)
Removed: [ca] strings.xml: string/lgu_msim_emm_cause_2 (format mismatch)
Removed: [ca] strings.xml: string/lgu_msim_emm_cause_3 (format mismatch)
Removed: [ca] strings.xml: string/lgu_msim_emm_cause_6 (format mismatch)
Removed: [ca] strings.xml: string/lgu_msim_emm_cause_8 (format mismatch)
Removed: [ca] strings.xml: string/lgu_msim_emm_cause_others (format mismatch)
Removed: [ca] strings.xml: string/messageCFU_kr (format mismatch)
Removed: [ca] strings.xml: string/mismatch_pin2 (format mismatch)
Removed: [ca] strings.xml: string/mi_mobile_sim_activate_message (format mismatch)
Removed: [ca] strings.xml: string/msim_emm_cause_7_8_12_13_15_16_17_22 (format mismatch)
Removed: [ca] strings.xml: string/msim_switch_data_conn_toast_for_h2xct (format mismatch)
Removed: [ca] strings.xml: string/new_pin2_label (format mismatch)
Removed: [ca] strings.xml: string/old_pin2_label (format mismatch)
Removed: [ca] strings.xml: string/pin2_changed (format mismatch)
Removed: [ca] strings.xml: string/pin2_lock_warning (format mismatch)
Removed: [ca] strings.xml: string/pin_progress_change_pin2 (format mismatch)
Removed: [ca] strings.xml: string/puk2_label (format mismatch)
Removed: [ca] strings.xml: string/roaming_customer_service_message_kr (format mismatch)
Removed: [ca] strings.xml: string/skt_emm_cause_2 (format mismatch)
Removed: [ca] strings.xml: string/skt_emm_cause_3 (format mismatch)
Removed: [ca] strings.xml: string/skt_emm_cause_6 (format mismatch)
Removed: [ca] strings.xml: string/skt_emm_cause_7_8_15 (format mismatch)
Removed: [ca] strings.xml: string/skt_msim_emm_cause_2 (format mismatch)
Removed: [ca] strings.xml: string/skt_msim_emm_cause_3 (format mismatch)
Removed: [ca] strings.xml: string/skt_msim_emm_cause_6 (format mismatch)
Removed: [ca] strings.xml: string/skt_msim_emm_cause_7_8_15 (format mismatch)
Removed: [ca] strings.xml: string/strPasswordLengthIncorrect (format mismatch)
Removed: [cs] strings.xml: string/emm_cause_7_8_12_13_15_16_17_22 (format mismatch)
Removed: [cs] strings.xml: string/kr_emergency_111 (format mismatch)
Removed: [cs] strings.xml: string/kr_emergency_112 (format mismatch)
Removed: [cs] strings.xml: string/kr_emergency_113 (format mismatch)
Removed: [cs] strings.xml: string/kr_emergency_117 (format mismatch)
Removed: [cs] strings.xml: string/kr_emergency_118 (format mismatch)
Removed: [cs] strings.xml: string/kr_emergency_119 (format mismatch)
Removed: [cs] strings.xml: string/kr_emergency_122 (format mismatch)
Removed: [cs] strings.xml: string/kr_emergency_125 (format mismatch)
Removed: [cs] strings.xml: string/kt_lte_emm_cause_6 (format mismatch)
Removed: [cs] strings.xml: string/lgu_emm_cause_2 (format mismatch)
Removed: [cs] strings.xml: string/lgu_emm_cause_3 (format mismatch)
